scenario,trial,follower_id,switching_time_s,detection_ok,n_anchors,n_followers,pass_threshold_s,wall_time_s
S1,28,1,6.086182118859142,True,3,10,15.0,16.59
S1,28,2,6.048574340995401,True,3,10,15.0,16.59
S1,28,3,6.025614631827921,True,3,10,15.0,16.59
S1,28,4,6.062735261861235,True,3,10,15.0,16.59
S1,28,5,6.093393464107066,True,3,10,15.0,16.59
S1,28,6,6.043742214795202,True,3,10,15.0,16.59
S1,28,7,6.0818269699811935,True,3,10,15.0,16.59
S1,28,8,6.021871550008655,True,3,10,15.0,16.59
S1,28,9,6.101999883074313,True,3,10,15.0,16.59
S1,29,0,6.102699967566878,True,3,10,15.0,16.55
S1,29,1,6.033920572139323,True,3,10,15.0,16.55
S1,29,2,6.033755182288587,True,3,10,15.0,16.55
S1,29,3,6.0193229131400585,True,3,10,15.0,16.55
S1,29,4,6.0555965271778405,True,3,10,15.0,16.55
S1,29,5,6.068935171701014,True,3,10,15.0,16.55
S1,29,6,6.006057827267796,True,3,10,15.0,16.55
S1,29,7,6.094768936745822,True,3,10,15.0,16.55
S1,29,8,6.020265398081392,True,3,10,15.0,16.55
S1,29,9,6.010657983832061,True,3,10,15.0,16.55
S2,1,0,6.084558557253331,True,3,10,15.0,21.66
S2,1,1,6.0642858049832284,True,3,10,15.0,21.66
S2,1,2,6.116244293749332,True,3,10,15.0,21.66
S2,1,3,6.0335480542853475,True,3,10,15.0,21.66
S2,1,4,6.049349126871675,True,3,10,15.0,21.66
S2,1,5,6.145106424111873,True,3,10,15.0,21.66
S2,1,6,6.070003116969019,True,3,10,15.0,21.66
S2,1,7,6.0680639571510255,True,3,10,15.0,21.66
S2,1,8,6.037689763586968,True,3,10,15.0,21.66
S2,1,9,6.004677664022893,True,3,10,15.0,21.66
S2,0,0,6.0144706959836185,True,3,10,15.0,22.07
S2,0,1,6.070774854160845,True,3,10,15.0,22.07
S2,0,2,6.086129589006305,True,3,10,15.0,22.07
S2,0,3,6.039934833068401,True,3,10,15.0,22.07
S2,0,4,6.03750413376838,True,3,10,15.0,22.07
S2,0,5,6.1607757289893925,True,3,10,15.0,22.07
