k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,109,1000109,0,0.3721,0.4288,0.3787,0.0379,600,3,3,0,20.0,0.0,50.0,50.63
0,111,1000111,0,0.448,0.5559,0.4812,0.0529,600,3,3,0,20.0,0.0,50.0,50.63
0,112,1000112,0,0.3761,0.6139,0.405,0.1595,600,3,3,0,20.0,0.0,50.0,50.61
0,113,1000113,0,0.4042,0.4627,0.3707,0.0929,600,3,3,0,20.0,0.0,50.0,50.62
0,114,1000114,0,0.3397,0.3649,0.2829,0.0987,600,3,3,0,20.0,0.0,50.0,50.6
0,115,1000115,0,0.478,0.533,0.4716,0.0535,600,3,3,0,20.0,0.0,50.0,50.63
0,116,1000116,0,0.3102,0.4232,0.3441,0.0552,600,3,3,0,20.0,0.0,50.0,50.64
0,118,1000118,0,0.4187,0.5397,0.384,0.1427,600,3,3,0,20.0,0.0,50.0,50.63
0,119,1000119,0,0.4382,0.5029,0.4404,0.0537,600,3,3,0,20.0,0.0,50.0,50.61
0,117,1000117,0,0.4295,0.4955,0.4467,0.035,600,3,3,0,20.0,0.0,50.0,50.64
0,120,1000120,0,0.4663,0.6311,0.4825,0.1151,600,3,3,0,20.0,0.0,50.0,50.6
0,121,1000121,0,0.405,0.6356,0.4821,0.1087,600,3,3,0,20.0,0.0,50.0,50.62
0,122,1000122,0,0.5923,0.6403,0.5336,0.1166,600,3,3,0,20.0,0.0,50.0,50.62
0,123,1000123,0,0.1674,0.2973,0.1798,0.0918,600,3,3,0,20.0,0.0,50.0,50.63
0,124,1000124,0,0.3235,0.3654,0.2942,0.0735,600,3,3,0,20.0,0.0,50.0,50.61
0,126,1000126,0,0.2168,0.6192,0.3419,0.1957,600,3,3,0,20.0,0.0,50.0,50.61
0,127,1000127,0,0.6101,0.6559,0.6243,0.024,600,3,3,0,20.0,0.0,50.0,50.61
